param number_of_vehicles := 4;

param n := 33;

param capacity := 8000;

param entry_type := COORD;

param locations := 
0 0 292.0
0 1 495.0
1 0 298.0
1 1 427.0
2 0 309.0
2 1 445.0
3 0 307.0
3 1 464.0
4 0 336.0
4 1 475.0
5 0 320.0
5 1 439.0
6 0 321.0
6 1 437.0
7 0 322.0
7 1 437.0
8 0 323.0
8 1 433.0
9 0 324.0
9 1 433.0
10 0 323.0
10 1 429.0
11 0 314.0
11 1 435.0
12 0 311.0
12 1 442.0
13 0 304.0
13 1 427.0
14 0 293.0
14 1 421.0
15 0 296.0
15 1 418.0
16 0 261.0
16 1 384.0
17 0 297.0
17 1 410.0
18 0 315.0
18 1 407.0
19 0 314.0
19 1 406.0
20 0 321.0
20 1 391.0
21 0 321.0
21 1 398.0
22 0 314.0
22 1 394.0
23 0 313.0
23 1 378.0
24 0 304.0
24 1 382.0
25 0 295.0
25 1 402.0
26 0 283.0
26 1 406.0
27 0 279.0
27 1 399.0
28 0 271.0
28 1 401.0
29 0 264.0
29 1 414.0
30 0 277.0
30 1 439.0
31 0 290.0
31 1 434.0
32 0 319.0
32 1 433.0
;

param costs := 
0 0 0.0
0 1 68.26419266350405
0 2 52.81098370604357
0 3 34.438350715445125
0 4 48.33218389437829
0 5 62.609903369994115
0 6 64.8459713474939
0 7 65.29931086925804
0 8 69.31810730249349
0 9 69.77105417004964
0 10 72.91776189653656
0 11 63.90618123468183
0 12 56.302753041036986
0 13 69.05070600652827
0 14 74.00675644831355
0 15 77.10382610480494
0 16 115.24755962709145
0 17 85.14693182963201
0 18 90.95603333479313
0 19 91.67878707749138
0 20 107.96758772891057
0 21 101.24228365658294
0 22 103.36827366266692
0 23 118.86967653695369
0 24 113.63538181394033
0 25 93.04837451562494
0 26 89.45389874119518
0 27 96.87620966986684
0 28 96.317184344228
0 29 85.70297544426332
0 30 57.97413216254298
0 31 61.032778078668514
0 32 67.62396025078685
1 0 68.26419266350405
1 1 0.0
